id;details.maxplayers;details.minage;details.minplayers;details.name;details.playingtime;attributes.boardgamecategory;attributes.boardgamemechanic;details.description
39;4;9;2;Can't Stop;30;Dice;Dice Rolling,Press Your Luck;In this Sid Sackson classic, players must press their luck with dice and choose combinations tactically to close out three columns. The board has one column for each possible total of two six-sided dice, but the number of spaces in each column varies: the more probable a total, the more spaces in that column and the more rolls it takes to complete. On their turn, a player rolls four dice and arranges them in duos: 1 4 5 6 can become 1+4 and 5+6 for 5 &amp  11, 1+5 and 4+6 for 6 &amp  10, or 1+6 and 4+5 for 7 &amp  9. The player places or advances progress markers in the open column(s) associated with their chosen totals, then chooses whether to roll again or end their turn and replace the progress markers with markers of their color. A player can only advance three different columns in a turn and cannot advance a column which any player has closed out by reaching the end space  if a roll doesn&rsquo t result in any legal plays, the turn ends with that turn&rsquo s progress lost...A predecessor from 1974, The Great Races, exists as a paper-and-pencil game...
40;4;12;2;Tigris & Euphrates;90;Abstract Strategy,Ancient,Civilization,Territory Building;Area Control / Area Influence,Hand Management,Set Collection,Tile Placement;Regarded by many as Reiner Knizia's masterpiece, Tigris &amp  Euphrates is set in the ancient fertile crescent with players building civilizations through tile placement. Players are given four different leaders: farming, trading, religion, and government. The leaders are used to collect victory points in these same categories. However, your score at the end of the game is the number of points in your weakest category, which encourages players not to get overly specialized. Conflict arises when civilizations connect on the board, i.e., external conflicts, with only one leader of each type surviving such a conflict. Leaders can also be replaced within a civilization through internal conflicts...Starting in the Mayfair edition from 2008, Tigris &amp  Euphrates included a double-sided game board and extra components for playing an advanced version of the game. This &quot ziggurat expansion&quot , initially released as a separate item in Germany for those who already owned the base game, is a special monument that extends across five spaces of the board. The monument can be built if a player has a cross of five civilization tokens of the same color by discarding those five tokens and replacing them with the ziggurat markers, placing a ziggurat tower upon the middle tile. The five ziggurat markers cannot be destroyed. All rules regarding monuments apply to the ziggurat monument as well. If your king is inside the kingdom of the ziggurat, you will get one victory point in a color of your choice at the end of your turn...Some versions of Tigris &amp  Euphrates are listed as being for 2-4 players, while others incorrectly state that they're for 3-4 players. Tigris &amp  Euphrates is part of what is considered Reiner Knizia's tile-laying trilogy...
41;6;12;2;Airlines;90;Aviation / Flight,Economic;Route/Network Building,Stock Holding;Airlines' theme is exactly as suggested by the title. The game is similar to the Sid Sackson classic, Acquire, in that players are competing to become majority stockholders in several highly-abstracted companies' with the player owning the most valuable portfolio at the end being the winner...Each turn, a player chooses from one of two actions: expand an airline and put stock into his hand, or play stock from his hand. Expanding an airline adds to its route(s) on the board and increases it's value but the trick is that when a scoring card shows up (randomly), only played stock counts as a player's holdings...
42;6;8;3;David & Goliath;60;Card Game;Trick-taking;This game adds a very interesting twist to the standard trick-taking genre.  There are five suits and players must follow suit, if they can.  However, the winner of the trick is the highest card played, regardless of suit.  The winner gets all the cards from the trick, minus the card he won it with.  That card is given to the player that played the lowest card.  After all tricks have been played, the scoring begins.  Players score the face-value of the cards in the suits that they only collected one or two of, and one point per card for suits with more than two.  The player with the most points after a number of hands wins the game...
43;6;8;2;Liar's Dice;30;Bluffing,Dice,Movies / TV / Radio theme,Party Game;Betting/Wagering,Dice Rolling,Player Elimination;Liar's Dice is a dice game where each player is given five dice and cup to roll and hide them with. Players make successively higher declarations regarding the results of all the dice remaining in the game, e.g. &quot there are ten sixes&quot . However, someone can always contest the bid. When that happens, all the dice are revealed and either the bidder or the caller loses dice, depending on who was correct. The last player with dice is the winner...As a public domain dice game there are a number of variants or similar games called Liar's Dice.  This includes one that is often played with Poker Dice, and differs from the marketed versions in that players only declare on their own hand's value (as opposed to all dice being in play), using poker-hand values...
44;6;10;2;Medici;60;Renaissance;Auction/Bidding,Set Collection;Another Reiner Knizia standby, this game plays very well with varying numbers of people.  The object is to accrue the most points during three rounds, which you do by spending your points to bid on sets of cards.  Each turn the current player turns up one to three cards for all the players to bid on, with the highest bid taking all cards.  The cards denote a commodity type and quantity/value.  The round ends when each player's ships are full, or the commodity card deck is exhausted.  After each round, points are awarded to each player having the most of a given commodity, and to the one with the most valuable total &quot cargo load&quot ...Part of the Knizia auction trilogy..One of the Knizia Florentine auction games... Related Games: ...     Medici vs Strozzi (two-player version).     Strozzi.     Mercator, included in Neue Spiele im alten Rom (ancestor to Medici)....
45;5;12;3;Chinatown;60;City Building,Economic,Negotiation;Set Collection,Tile Placement,Trading;This is a negotiation game in the truest sense of the word. In it, players acquire ownership of sections of city blocks then place tiles, representing businesses, onto the block-sections.  At the end of each turn, each tile you've laid gives you some sort of payout, but completed businesses (formed of three to six connected tiles of the same type) pay quite a bit better.  All these resources are dealt to the players randomly, however, so players must trade to get matching businesses and adjacent locations...This game is #2 in the Alea big box series...
46;4;12;2;Krieg und Frieden;90;Medieval,Political;Auction/Bidding;Taking on the roles of land-owners in a feudal society, players are charged with running their lands and accruing favor from the bishop by building his cathedral.  Each turn, players use their resources to bid for that year's agenda, and some resources have more or less value in the bid depending on what type of agenda is available.  Then players use their remaining resources to build their lands, sack others' lands, bribe others' knights away from defense, or help to build the bishop's cathedral.  Finally, players harvest new resources for the next turn.  After all the pieces of the cathedral have been built, the game is over with the victory going to the player with the most victory points.  This game was originally released as Charlemagne by Think Games at Essen 1998, and later slightly shortened as Krieg und Frieden...Re-implements:..    Charlemagne.....
47;5;10;2;Mamma Mia!;30;Card Game;Hand Management,Memory;Designer Uwe Rosenberg has a talent for dreaming up new and inventive card games, and Mamma Mia! is a perfect example of this talent, with players placing pizza ingredients into a combined pool, then trying to time their pizza baking in order to make use of what's available in the kitchen...Each player starts the game with eight different pizza orders to fill, with one of those order cards in hand  each player also starts with a hand of ingredient cards (showing pepperoni, mushroom, pineapple, green pepper or olive). On a turn, a player lays down one or more ingredient cards of a single type into a common stack, then optionally adds a pizza order card to that stack. He then refills his hand by drawing as many cards as he played from either the shared ingredient deck or his own order deck...After the draw pile is exhausted, the shared pile of cards is flipped over and sorted by ingredients until an order comes up. If enough ingredient cards are available to fill that order, the owner scores it  if not, the player can make up the difference by playing cards from his hand (and thereby scoring the order) or else return the card to the bottom of his order deck...Once all the orders are scored or returned, shuffle the ingredients used in pizzas and start another round of play. After three complete rounds, the player who's filled the most orders wins!..
48;2;10;2;Lost Cities;30;Card Game,Exploration;Hand Management,Set Collection;Lost Cities is a card game in the Kosmos two-player series. The game consists of a single deck of cards of rank 2&ndash 10 in 5 different colors with 3 special &quot handshakes&quot  (&quot HS&quot  in scoring examples below) in each suit. There is also a board which functions only to hold and organize discarded cards and is largely superfluous. Games last around 15 minutes. This is generally considered a good &quot couples&quot  game and is often recommended for people with non-gamer partners...The object the game is to gain points by mounting profitable archaeological expeditions to the different sites represented by the 5 colors. On a player's turn they must always first play one card, either to an expedition or by discarding it to the appropriate discard pile, and then draw one card. There is a separate discard pile for each color and a player may draw the top card of any discard pile or the top card of the deck. Cards played to expeditions must be in ascending order but they need not be consecutive. Handshakes are considered lower than a 2 and represent investments in an expedition. Thus, if you play a red 4, you may play any other red card higher than a 4 on a future turn but may no longer play a handshake, the 2, or the 3...The game continues in this fashion with players alternating turns until the final card is taken from the draw pile. The rest of the cards in hand are then discarded and players score their expeditions. Each expedition that has at least one card played into it must be scored. Cards played into an expedition are worth their rank in points, and handshakes count as a multiplier against your final total. Expeditions start at a value of -20 so you must play at least 20 points of cards into an expedition in order to make a profit. If you are left with a negative value and have a handshake, the multiplier still applies. A 20-point bonus is awarded to every expedition with at least 8 cards played into it. The player with the most points wins the game, but it is typical to play 3 matches and add your score from each to see who wins...Scoring example 1: an expedition has a 2,3,7,8,10 for a total of 30. This expedition is worth 10 total points: 30 minus the initial -20...Scoring example 2: an expedition has 2 HS, and 4,5,6,7,8,10 for a total of 40. This expedition is worth 80 total points: 40 points for cards, minus the initial 20, &times 3 for the 2 multipliers, plus the 20-pt bonus for playing 8+ cards...Scoring example 3: an expedition has 1 HS, and 4,6,7 for a total of 17. This expedition is worth -6 total points: 17 minus initial 20, &times 2 for the multiplier...
49;15;10;1;Ricochet Robots;30;Abstract Strategy,Maze,Puzzle,Real-time;Grid Movement,Modular Board;Ricochet Robots is less of a game and more of a puzzle, which explains why there's such an odd number of solutions possible. There's a four-piece modular board that forms a large room with walls spread around the board. There are also color-coded targets on boards. Placed on top of the surface are four robots. The idea for each turn/puzzle is to get the like-colored robot to a randomly selected target. The trick is that once a robot starts moving, it will continue to move until a wall or another robot stops it. Therefore, players are seeking a sequence of moves for the robots that will enable them to move the required robot to the target in the fewest moves...
52;4;13;2;Tikal;90;Exploration,Territory Building;Action Point Allowance System,Area Control / Area Influence,Auction/Bidding,Grid Movement,Set Collection,Tile Placement;Tikal is a game of exploration within the Central American jungles in search of lost temples and the treasures within. Players send their team of explorers into the jungle, exposing more and more of the terrain.  Along the way, you find temples that require further uncovering and treasures.  Players attempt to score points for occupying temples and holding onto treasure...Tikal is the first game of the Mask Trilogy...Sequel:..     Tikal II: The Lost Temple.....
54;4;13;2;Schoko & Co.;180;Economic;Auction/Bidding,Commodity Speculation;Schoko &amp  Co is all about producing chocolate in order to make money. Players are chocolate barons who have to contend with every element of the business from production to sales. Buy cocoa, convert it into chocolate and then sell it at sales meetings to big distributors, all along financing the staff and labor to pull it all off. Whoever is the most efficient gets the most money and the win...Ambition is the title of the French language edition by the same publisher...
55;4;12;2;Kings & Things;120;Bluffing,Exploration,Fantasy,Territory Building,Wargame;Area Control / Area Influence,Area Movement,Hex-and-Counter,Modular Board,Secret Unit Deployment;Kings &amp  Things is a classic Tom Wham game of warring kingdoms in a fantasy world and the legions of things that inhabit them. The board is made from hex tiles, which allows for a different board layout every time. Utilizing an interesting flipped counter element, players attempt to out bluff one another regarding the types of things they have in their armies...Reimplements:..    King of the Tabletop.....
56;4;10;3;Giganten;90;Economic,Exploration,Industry / Manufacturing;Auction/Bidding,Commodity Speculation;Besides attempting to find oil in dusty Texas, players must also try to outbid one another for sales contracts in the oil industry.  An oilfield with drilling sites scattered about is spread out before the players, who take their trucks out trying to grab those sites as quickly as possible...Three groups of tiles are laid over the drilling sites, giving a range of value for each site once it has been reached by a player.  The deeper a site is into the field the greater its overall yield. But players have to weigh this against creating a constant supply from the smaller yields that are closer at the beginning of the game...Once oil has been produced, players can attempt to sell it on the market. But there are only three companies, and with four players this means that one player will be shut out each turn.  Bidding has an interesting element to it in that player's bidding pools are hidden from one another, making it difficult to tell whether a player is bluffing...Reimplemented as Black Gold..
57;6;14;3;Vinci;90;Ancient,Civilization,Territory Building;Area Control / Area Influence,Area Movement,Variable Player Powers;Along the lines of History of the World by Avalon Hill, players cycle through a series of European civilizations as they attempt to score the most points using the civilization's special powers.  The game is set in Europe. Each player is provided with a pool of wooden tokens to represent their civilizations.  Each player selects a combination of civilization tiles, which give his civilization special abilities or characteristics.  Players enlarge their empires through territorial expansion, often at the expense of other players.  The key to the game lies in choosing when to allow your active civilization to go into decline in order to select a new one that will generate more points.  Play continues with the cycling of civilizations until a certain score is reached, whereupon final rounds are played and a victor is determined...Reimplemented by:...     Small World (released in March 2009)...
58;6;10;2;Fossil;40;Ancient;Set Collection;On the hunt for petrified treasures, players are competing paleontologists trying to make as complete a set as possible of several fossils.  The board is laid out with a random bunch of fossil pieces and players have to take turns moving a stone about the field to a location where they want to pick up a fossil piece.  However, every movement costs them prestige points so they have to weigh carefully if the fossil is worth the effort...Won Games Magazine Game of the Year award in 1999...
59;4;12;1;Curse of the Mummy's Tomb;120;Adventure,Ancient,Horror;Action / Movement Programming;Players are a group of explorers in a pyramid attempting to learn forbidden knowledge and find treasure...However the pyramid has many traps and tricks, and lurking about is the Mummy who will not rest until all are dead.  Comes with a 3D three level gameboard that players have to ascend and metal miniatures...Expanded by.Curse of the Mummy's Tomb: In Search of Eternity...Flavour text from the box:..&quot When the moon conjoins with the planet of the God Anubis, the elixir of eternal life will flow.  Whoever partakes of the sacred waters shall stay youthful for one hundred years.  Immortality is the reward for he who overcomes the dead that walk.&quot ..
60;8;12;2;Samurai;180;Political,Wargame;Area Movement;(from the back of the box:)..You are now back in time-12th through 17th century Japan, to be exact. Your objective: the exalted title of &quot Shogun&quot . As &quot Shogun&quot , you will have the right to enforce the emperor's will, and become the real ruler of Japan...Samurai allows you to take control of Japan. In medieval Japan, the central government of the emperor was dissolved. He become a powerless figurehead while various clans competed to take control of the country. .These clans were similar to the noble houses of Europe  and their leaders the equivalent of medieval Dukes, Barons, Counts, and the like. .Using formldable samurai warriors, the clans waged endless wars across the major islands of the Japanese archipelago...Concept of Play .Each player controls a clan, with one or more lords. Each lord has a province representing his personal &quot fief&quot  or home, and often has additional holdings of troops, titles, ships, castles, and more provinces...The game is played in 20 turns, each representing a pace of historical events running between a few months to a few years. In each turn, moves are conducted on a mapboard that portrays the three major islands of Japan...The playing pieces-360 in all-include Samurai Lords, clan control markers, holdings and title counters, troops, garrisons, and more  all explained in the easy&shy  to-follow prose of the 18-page rules folder...Many Games in One .An excellent game for 2 to 8 players. Samurai is suitable for beginning and intermedlate play, with plenty of optional rules and strategic options for even the expert. And for the really hard-core power-politics fanatics, special rules create a nearly &quot perpetual&quot  game representing tho true ebb and flow of Japanese feudal confilct. .Samurai includes a variety of playing aids to make learning and playing the game truly an effortless task. The rules manual contains historical background and designer's notes that offer the player the full flavor and authenticity of what medieval conflict was all about in the age of the &quot Shogun&quot  struggles....(BGG description:)..Samurai is a game about warfare and politics in feudal Japan. The aim of the game is to gain the title &quot Shogun&quot  by game end. To become Shogun, the player has to gain control of two out of four Imperial Articles scattered across the mapboard. These are: the Emperor, The Heir, The Imperial Regalia and Kyoto Castle...Playing pieces are the samurai lords of various houses. Each lord has a home province which provides him with troops. Additional troops may be added through offices, other provinces, castles, etc...
63;4;12;2;Löwenherz;90;Medieval,Political;Area Control / Area Influence,Auction/Bidding,Modular Board;The king lies near death, so the princes compete to dominate the kingdom and secure the throne by grabbing as much land as possible.  Each turn a card displays three actions that players can choose from: build a wall, move a wall (expanding your kingdom), place a knight, etc.  When more than one player chooses the same action, however, a bidding war takes place.  All kinds of bits come in this package&mdash walls, castles, knights, and a gorgeous game board that allows for variable setups...
64;4;10;2;Conquest;120;Abstract Strategy,Ancient,Wargame;Action Point Allowance System,Point to Point Movement;Conquest was designed to be a diceless wargame.  Its latest version updates the original with plastic units and a colorful map.  Set in ancient times, Conquest has players utilizing troops, cavalry, chariots, elephants and ships to try to capture their opponents' fortifications or occupy the &quot quest&quot  locations.  The map is designed for point-to-point movement, and play hinges on a pool of action points that each side uses to move its different units.  Conquest comes in two versions, one designed for four players and one designed exclusively for two...
65;4;12;2;Successors (second edition);180;Ancient,Wargame;Campaign / Battle Card Driven,Point to Point Movement;Following in the footsteps of the successful card driven war game systems of We the People and Hannibal: Rome vs. Carthage, Successors adds a new element in adding a multi-player dimension to the series. Players are the generals under the recently deceased Alexander the Great and recreate the civil war within the Hellenistic sphere of the middle east. The map is a point to point system, the counters are extra large and quite colorful and a deck of cards is provided that gives a refreshing twist to the typical war game...Re-implemented by:..    Successors (third edition).....
66;2;10;2;Bollox;20;Abstract Strategy;Pattern Building;Bollox is easy to learn as there are only two rules. Playing the game of Bollox, well, is a bit trickier...Your objective? Get five pieces in a row. Sounds easy, right?..Rule One: Black plays first. Still sounds easy? Not so fast!..Rule Two: The seemingly sudden 'Sandwich Move'. Just like it sounds, when you entrap two of your opponent's pieces between two of your own, you get to &quot evict&quot  one of your opponent's pieces. This 'Sandwich Move' really does &quot bollox up&quot  the game plan of the unwary player. Often the Sandwich Move can completely turn the game around and give you a dazzling win...1999 Mensa Select..
67;5;10;2;Big City;60;City Building;Hand Management,Modular Board,Tile Placement;This game, with its really wonderful plastic bits, is about building a city.  Players acquire cards in eight different 'neighborhoods' and then use them to lay out buildings either one, two, or three spaces large.  The points they receive for a given building is a base score plus bonuses for the buildings surrounding it.  What makes this game really unique is the city hall.  Some player must play it (scoring no points for himself) in order for anyone to start placing any structure beyond the simple residences and business...
68;7;12;2;Civilization;360;Ancient,Civilization,Economic,Negotiation;Area Control / Area Influence,Area Movement,Hand Management,Set Collection,Trading;CIVILIZATION is a game of skill for 2 to 7 players.  It covers the development of ancient civilizations from the invention of agriculture c. 8000 B.C. to the emergence of Rome around the middle of the third century B.C.  Each player leads a nation of peoples over a map board of the Eastern Mediterranean and Near East as they attempt to carve a niche for themselves and their culture...Although battles and territorial strategy are important, this is not a war game because it is not won by battle or conquest.  Instead, the object of play is to gain a level of overall advancement involving cultural, economic, and political factors so that such conflicts that do arise are a result of rivalry and land shortage rather than a desire to eliminate other players.  Nomad and farmer, warrior and merchant, artisan and citizen all have an essential part to play in the development of civilization.  It is the player who most effectively changes emphasis between these various outlooks who will achieve the best balance - and win...(from the Introduction to the Avalon Hill edition rulebook)..This game has a huge following and is widely regarded as one of the best games about ancient civilizations.  Each player takes on the role of leader of an ancient civilization, such as the Illyrians or Babylonians.  Your task is to guide your people through the ages by expanding your empire and using its proceeds to finance new technological advances, such as Literacy, Metalworking, or Law.  The advancements help your civilization better cope with its problems as well as help bring new advancements...Civilization is widely thought to be the first game ever to incorporate a &quot technology tree,&quot  allowing players to gain certain items and abilities only after particular other items were obtained.  This influential mechanism has been adopted by countless other board games, card games, and computer games...
69;4;12;3;Verräter;60;Card Game,Political;Card Drafting,Hand Management,Modular Board,Partnerships,Variable Player Powers;This board game masquerading as a card game is about a conflict between two factions, the Rose and the Eagle. In each turn, players attempt to change the allegiance of one land district, contributing power cards to swing the conflict in their favor. Players also choose roles such as Diplomat, Traitor, and Builder that give them special abilities for that turn. The most potentially devastating role is that of the Verr&auml ter, or Traitor, which allows the player to change allegiances just as the conflict begins. Points are awarded for winning over districts, for taking certain roles, and for building counting-houses...
70;6;10;2;Show Manager;60;Card Game;Card Drafting,Set Collection;The players put together four shows in any order: Queenie, Wolf, King Lear, and Ballet.  To accomplish this, players draft actor cards from a constantly changing queue of cards.  Each card represents actors of varying skills at roles.  Once a player puts together all the needed roles for a show, the value is judged against all the other productions of that type, with points given relative to the other productions...This is a Queen Games reprint of the db-Spiele original, Premiere...
71;10;12;4;Apples to Apples;30;Card Game,Humor,Party Game;Hand Management,Simultaneous Action Selection,Voting;The party game Apples to Apples consists of two decks of cards: Things and Descriptions. Each round, the active player draws a Description card (which features an adjective like &quot Hairy&quot  or &quot Smarmy&quot ) from the deck, then the other players each secretly choose the Thing card in hand that best matches that description and plays it face-down on the table. The active player then reveals these cards and chooses the Thing card that, in his opinion, best matches the Description card, which he awards to whoever played that Thing card. This player becomes the new active player for the next round...Once a player has won a pre-determined number of Description cards, that player wins...
72;8;8;4;Falling;5;Card Game,Fantasy,Print & Play,Real-time;Hand Management;This game is from an odd genre, real-time card games.  Each of the players (except the dealer) is a person falling to his death.  The goal is not to live, rather just to be the last one to go splat.  The dealer continues dealing cards to players, eventually giving them 'ground' cards.  But on the way down players can do all kinds of nasty stuff to each other to ensure their relative longevity...&#9 &#9 &#9 &#9 .&#9 &#9 &#9 &#9 &#9 Versions...     Color version (Out of Print).     Falling&mdash The Goblin Edition (released June 2008)...&#9 &#9 &#9 &#9 .&#9 &#9 &#9 &#9 &#9 Awards..1998 Origins Award Nominee: Best Traditional Card Game.1998 Listed in GAMES Magazine's GAMES 100..
73;6;10;2;Air Baron;120;Aviation / Flight,Economic,Territory Building;Area Control / Area Influence,Chit-Pull System,Dice Rolling;Airlines vie for control of the American skies in this hybrid business/war game. Each turn, the active player decides whether make an investment or, to forgo income for a round and enter Fare Wars. In Fare Wars, players pay and roll dice to take over individual spokes to control major-city hubs. Income is generated by randomly drawing purchased spokes and controlled hubs. When a player, on their turn with no outstanding loans, has a mix of market share and cash on hand that equals or exceeds the winning target (which varies with number of players), that player wins...
74;2;12;2;EastFront;240;Wargame,World War II;Dice Rolling,Secret Unit Deployment,Simulation;EastFront details the conflict between Germany and the Soviet Union during WWII.  Players have to contend with production, supply, command control and whether to try and break the other sides' lines.  Several scenarios cover every major point of the war.  The game comes with a fantastic, detailed map of Eastern Europe and Russia printed on cardstock and many wooden blocks for the units.  This is a standalone game that can also serve as one element of the complete EuroFront series which covers the entire European conflict of WWII...This title uses the Columbia Games Block system.  While there are variations in the rule sets, all of the &quot Front&quot  series of games are based on the block system.  Basically this means that rather than using the traditional  counters to represent units on the map the game uses wooden blocks that stand upright with unit details only shown on one side.  This accomplishes two things:  First it provides an easy way of producing a &quot fog of war&quot  because your opponent cannot tell, save through good memory or deduction, what type of unit a specific piece is or its current strength.  Second, having the blocks stand on end allows the possibility of rotating a block so the current strength is the top number.  Although most war games have some type of mechanism that lets units to take steps in their overall strength, counters normally have at most two steps because they only have two sides.  Blocks, however, have four so you can easily keep track of twice the amount of detail that many other war games provide...With the use of blocks, Columbia has provided a way of adding a good deal of depth to their war games without adding complex layers of bookkeeping, allowing interesting and relatively short sessions of play...
75;2;12;2;WestFront;240;Wargame,World War II;Dice Rolling,Secret Unit Deployment;WestFront details the conflict between the Allies and  Germany during WWII between 1943-45. Players have to contend with production, supply, command control and the weather to try and break the other sides lines. Additional rules are included for amphibious invasions. Several scenarios cover every major point of the war. The game comes with a fantastic detailed map of Western Europe and Italy printed on card and many wooden blocks for the units. This is one section of the complete EuroFront series that covers the entire European conflict of WWII...This title uses Columbia Games Block system. While there are variations in the rule sets for each of their games none the less all of their games are based on block system. Basically this means that rather than the traditional use of counters to represent units on the map the game instead uses wooden blocks that stand upright and with unit details only shown on one side of the blocks. This does two things: First it provides an easy way of producing a &quot fog of war&quot  because your opponent can not tell, save through good memory, what type of unit a specific piece is and it&rsquo s current strength. Second, by having the blocks stand on end it provides a way to keep track of a units strength by rotating the block so the current strength is the top number. Most war games have some type of mechanism that lets units take steps in their overall strength. Counters normally have at most two steps because of they only have two sides, however blocks have four and so now you can easily keep track of twice the amount of detail that many other war games provide. With the use of blocks Columbia has provided a way of adding a good deal of depth to their war games without adding further complex layers of bookkeeping and thus allow for interesting and relatively short sessions of play...Re-implemented as:..    WestFront II.....Expanded by:..    EuroFront.....
79;2;12;2;Bobby Lee;240;American Civil War,Wargame;Dice Rolling,Secret Unit Deployment;Bobby Lee covers the eastern theater of the American Civil War around the Virginia area from 1861-1865.  It comes with a beautiful card-stock map of Maryland, Pennsylvania and Eastern Virginia and heaps of wooden blocks for the North and South.  The game utilizes both a strategic layer of the conflict but also provides a slightly more tactical layer of combat with additional battle maps that allow for center, and flank positions of specific units.  The game can be combined with Sam Grant so that both theaters of the Civil War can be played out at the same time...This title uses Columbia Games Block system. While there are variations in the rule sets for each of their games none the less all of their games are based on block system. Basically this means that rather than the traditional use of counters to represent units on the map the game instead uses wooden blocks that stand upright and with unit details only shown on one side of the blocks. This does two things: First it provides an easy way of producing a &quot fog of war&quot  because your opponent can not tell, save through good memory, what type of unit a specific piece is and it&rsquo s current strength. Second, by having the blocks stand on end it provides a way to keep track of a units strength by rotating the block so the current strength is the top number. Most war games have some type of mechanism that lets units take steps in their overall strength. Counters normally have at most two steps because of they only have two sides, however blocks have four and so now you can easily keep track of twice the amount of detail that many other war games provide. With the use of blocks Columbia has provided a way of adding a good deal of depth to their war games without adding further complex layers of bookkeeping and thus allow for interesting and relatively short sessions of play...All artwork and graphics in the game Bobby Lee was created by RPG/Historical artist, Eric Hotz...
80;2;12;2;Sam Grant;180;American Civil War,Wargame;Secret Unit Deployment;Sam Grant covers the western theater of the American Civil War around the Mississippi area from 1862-1864.  It comes with a beautiful card-stock map from Vicksburg to Cincinnati and heaps of wooden blocks for the North and South.  The game utilizes both a strategic layer of the conflict but also provides a slightly more tactical layer of combat with additional battle maps that allow for center, and flank positions of specific units.  The game can be combined with Bobby Lee so that both theaters of the Civil War can be played out at the same time...This title uses Columbia Games Block system. While there are variations in the rule sets for each of their games none the less all of their games are based on block system. Basically this means that rather than the traditional use of counters to represent units on the map the game instead uses wooden blocks that stand upright and with unit details only shown on one side of the blocks. This does two things: First it provides an easy way of producing a &quot fog of war&quot  because your opponent can not tell, save through good memory, what type of unit a specific piece is and it&rsquo s current strength. Second, by having the blocks stand on end it provides a way to keep track of a units strength by rotating the block so the current strength is the top number. Most war games have some type of mechanism that lets units take steps in their overall strength. Counters normally have at most two steps because of they only have two sides, however blocks have four and so now you can easily keep track of twice the amount of detail that many other war games provide. With the use of blocks Columbia has provided a way of adding a good deal of depth to their war games without adding further complex layers of bookkeeping and thus allow for interesting and relatively short sessions of play...All artwork and graphics in the game Sam Grant was created by RPG/Historical artist,  Eric Hotz...
81;2;12;2;Rommel in the Desert;150;Wargame,World War II;Dice Rolling,Secret Unit Deployment;Rommel in the Desert is a pre-&quot Front&quot  game touching on the conflict between the British and Germans in North Africa during WWII. A game of maneuver, each side has to move with precision and know when to strike, since a cut in supply spells disaster for either side. The supply system is card driven. The game comes with a map of North Africa and 100 wooden blocks to represent the British and Germans...This title uses Columbia Games Block system. While there are variations in the rule sets for each of their games none the less all of their games are based on block system. Basically this means that rather than the traditional use of counters to represent units on the map the game instead uses wooden blocks that stand upright and with unit details only shown on one side of the blocks. This does two things: First it provides an easy way of producing a &quot fog of war&quot  because your opponent can not tell, save through good memory, what type of unit a specific piece is and its current strength. Second, by having the blocks stand on end it provides a way to keep track of a units strength by rotating the block so the current strength is the top number. Most war games have some type of mechanism that lets units take steps in their overall strength. Counters normally have at most two steps because of they only have two sides, however blocks have four and so now you can easily keep track of twice the amount of detail that many other war games provide. With the use of blocks Columbia has provided a way of adding a good deal of depth to their war games without adding further complex layers of bookkeeping and thus allow for interesting and relatively short sessions of play...
82;2;12;2;Quebec 1759;60;Age of Reason,Wargame;Dice Rolling,Point to Point Movement,Secret Unit Deployment;Quebec 1759 is a small, simple and short war game covering the conflict between the British and the French in Canada during the French and Indian War. The game comes with a gorgeous map drawn in the style of the period. Movement is conducted via a point-to-point system following the roads and towns in the area around Quebec. The game comes with handfuls of blocks to represent the British and French units...This title uses Columbia Games Block system. While there are variations in the rule sets, all of their games are based on the block system. Basically this means that rather than using the traditional counters to represent units on the map the game uses wooden blocks that stand upright with unit details only shown on one side. This does two things:  First it provides an easy way of producing a &quot fog of war&quot  because your opponent can not tell, save through good memory, what type of unit a specific piece is or its current strength. Second, having the blocks stand on end allows the possibility of rotating a block so the current strength is the top number. Although most war games have some type of mechanism that lets units take steps in their overall strength, counters normally have at most two steps because they only have two sides. Blocks, however, have four so you can easily keep track of twice the amount of detail that many other war games provide. With the use of blocks Columbia has provided a way of adding a good deal of depth to their war games without adding complex layers of bookkeeping, allowing interesting and relatively short sessions of play...
83;6;12;2;Victory:  The Blocks of War;180;Wargame,World War II;Dice Rolling,Hex-and-Counter,Secret Unit Deployment;Victory: The Blocks of War is a Block game published in 1998 by Columbia Games.  It is a generic war game played on modular maps with World War II units.  The game uses a stripped down Front system, with the whole command control element removed and simplified movement and unit production.  Block sets for blue and red players and several maps are included in the base game...There are many supplements available, including basic block sets for four additional colors (black, orange, green, and gray), ten-unit elite sets for each color, maps with various terrain, and a logistics expansion which provides a twist on production and adds other strategic elements to the game...Expanded by:..    Victory: The Blocks of War &#226 &#128 &#147  Additional Blocksets.    Victory: The Blocks of War &#226 &#128 &#147  Elite Blocksets.    Victory: The Blocks of War &#226 &#128 &#147  Extra Maps.    Victory: The Blocks of War &#226 &#128 &#147  Logistics Set.....Victory FAQ based on info in the rules forum here and elsewhere...
84;4;12;2;Torres;60;Abstract Strategy,Medieval;Action Point Allowance System,Area Control / Area Influence,Area Enclosure,Grid Movement,Hand Management,Tile Placement;Torres is an abstract game of resource management and tactical pawn movement.  Players are attempting to build up castles and position their knights to score the most points each turn.  Players have a limited supply of knights and action cards that allow special actions to be taken.  Efficient use of pieces and cards, along with a thoughtful awareness of future possibilities, is the heart of this game...Torres is considered by many to be an informal member of what is referred to as the Mask Trilogy...
